,comment
117,O produto em si pra quem ja usa a marca não tem muito o que falar. O que me surpreendeu negativamente foi a bateria que mesmo ja conhecendo não esperava que em 1 mês de uso ja fosse para 99% a saúde da bateria.
118,Boa noite caixa estava aberta tinha chip no aparelho nao estava novo anucio falava que era novo fiquei muito triste quando chego aparelho na minha casa.
119,Pior aparelho que já comprei na minha vida. Peças parece falsificadas.
120,"Excelente produto, rapido e seguro."
121,Perfeito.
122,"Amei a tecnologia, rapida e fotos sensacionais, mas confesso q me assustei um pouco com o dourado da lateral, avisando pra quem nao tover alinhado com essa expectativa. E lembrando tbm que vivemos com capinha msm, então, tá tranquilo."
123,Quero devolver o produto!!! me confundi com o modelo pro max.
124,Produto de excelente qualidade em conformidade com a tradição da marca apple. Que oferece o fabricante. Recomendo.
125,Inenarrável. O melhor dos iphones até agora.
126,"Muito boem o produto, e todo o que esperava."
127,Fantástica evolução na camera e no processamento!!!!!.
128,Gostei dele. Aparelho muito bom.
129,Excelente celular atende minhas necessidades.
130,Muito bom veio igual a descricao.
131,"Eu nem usei o aparelho ta aqui parado me arrependii, eu so comprei pra poder usar o aplicativo, wase nao consegui instalar."
132,"Otimo, estava sismada pelo valor, mais adorei pois paguei um valor acessivel por um produto top. : tudo veio certinho, garantia, carregador e cel, top demais. Do jeito que eu queria :d."
133,"Podem comprar sem medo, veio lacrado, tudo certinho e no tempo estimado. Ótimo aparelho!."
134,"Maravilhoso , camera top sem falar que e pequeno do jeito que eu esperava , a bateria me surpreendeu ameiiiiii."
135,"Muito bom, funciona perfeitamente, recomendo, o iphone mini e leve e facil de uso e manuzeio. A bateria aguenta ate dois dias."
136,Entao ele ja nao carrega mais levei para arrumar e n deu conserto por ser do paraguay diz o tecnico n verdade perdi o telefone e o dinheiro uma pena mais agora ja foi nao tem onde chorar infelizmente.
137,Ruim nao estou conseguindo fazer nem ligacao o carregador esquenta demais e nao e original.
138,Otimo celular. Tudo como anunciado.
139,O produto foi o esperado muito bom.
140,"Era o celular que estava desejando no momento , está me servindo muito bem excelente."
141,"Este aparelho demora para localizar a rede de wi-fi. A bateria deste iphone 14 pro max é boa, mas, comparando com o meu anterior que era iphone 13 pro max - parece-me que o 13 era mais eficiente. Além do 14 demorar para localizar rede. Com este meu 14, não sei se já foi usado, se houve algum acidente com ele, mas, o fato é o que descrevi acima. Na descrição de venda, não constava que era usado, ou qualquer tipo de problema! 🥲."
142,Excelente aparelho! tudo perfeito!.
143,"Produto original, lacrado! perfeito."
144,"Produto original, novo, sem defeitos."
145,"Ótimo produto, nada do que reclamar."
146,Muito bom gostei do produto vale a pena.
147,"Nao comprem cai no golpe ,comprei em novembro e o celular deu varias falhas ,nao funciona mais e as peças são trocadas. Nao e original."
148,Excelente satisfaz em todos os aspetos.
149,Produto muito bom atendeu as minhas necessidades.
150,Muito bom tanto para o uso pessoal quanto pra usar como ferramenta de trabalho.
151,"Perfeito, veio com nota fiscal e todos os acessorios."
152,"Até agora não tem nada a reclamar. Produto muito bom recomendo,."
153,Excelente.
154,Produto excelente recomendo !!!.
155,"O cabo não é o original, ja esta apresentando defeito. Não recomendo."
156,"Superou minha expectativa, muito bom."
157,Otimo. Gostei muito. Ja conhecia o produto nas versoes anteriores.
158,Excelente! melhor compra que poderia fazer. Aparelho novo sem defeitos. Recomendo a todos! preço ótimo para um aparelho que é igual ao 11.
159,Dispensa comentarios. Iphone realmente ainda é o melhor aparelh/sistema.
160,Tenho problemas com o produto está sem funcionar.
161,Maravilhoso demais para merecer algum comentário. Não existe nada melhor.
162,Atendeu minhas espectativas.
163,Bom aparelho. Excelente custo benefício.
164,Muito bom câmeras boas qualidade de acabamento sem igual.
165,"Ótimo aparelho, gostei muito da minha compra e espero que cumpra as minhas expectativas."
166,"Produto excelente, bateria muito mais duradoura, processador rápido, câmera com resolução perfeita. Aparelho impecável."
167,Muito bom!! superou minhas expectativas.
168,Ótimo produto recomendo.
169,Superou minhas expectativas rs.
170,Excelente. Fiquei 2 anos sem iphone e não via a hora de voltar a ter um. Não me arrependo. Não tem coisa igual.
171,"Melhor compra, é meu primeiro iphone, mas sem duvidas o melhor aprelho que ja tive. Muitos recursos, camera muito boa, bateria me surpreendeu. Trabalho com o aparelho e a bateria dura 1 dia e meio. Vale a pena o valor pago. Recomendo."
172,"Produto não vem na caixa original e fio/carragdor são compatíveis. O produto em si (celular) veio em excelente estado, creio que com uso mínimo por ser produto de vitrine. Legal que vem uns brindes com ele. Recomendo."
173,"Ótimo investimento! você que tá com interesse de comprar, não vai se arrepender."
174,"Ótimo telefone, superou as expectativas."
175,"Ótimo telefone, caro, mas bom. Para quem faz questão de apple, vale a pena."
176,Maravilhoso!!!!. É apple né.
177,"Muito bom ,estou instalando hoje."
178,Maravilhoso!!! lindo!!! excelente compra!.
179,Excelente custo benefício entre os iphones.
180,Perfeito!.
181,Muito bom.
182,Maravilhoso.
183,Foi presente de aniversário da minha esposa.
184,Excelente celular.
185,"Muito satisfeito com a compra, aparelho lacrado, desbloqueado e com todos os acessórios originais. Além da nota fiscal emitida com o nome do comprador."
